"chr","start","end","length","nCG","meanMethy1","meanMethy2","diff.Methy","areaStat","feature_class","nearest_gene","distance_to_TSS","in_CpG_island","gene_symbol"
"chr11",119299621,119299912,292,63,0.0465004850688746,0.0918586583423635,-0.0453581732734889,-323.182674612198,"exon","NR_035453.1",18325,TRUE,"Mir1932"
"chr12",73046506,73046733,228,37,0.0551987437078911,0.103846746005608,-0.0486480022977172,-320.771414550586,NA,"NR_162772.1",-45926,FALSE,"Mir9718"
"chr14",66868749,66868877,129,34,0.0495046198204881,0.0850967991050872,-0.0355921792845991,-319.420667286915,NA,"XM_011244925.4",-3828,FALSE,"Adra1a"
"chr2",181459568,181459768,201,50,0.0530579570072165,0.0875582667787946,-0.0345003097715781,-317.512843197229,NA,"Gm18895",-162,TRUE,NA
"chrX",52912155,52912416,262,66,0.0401710371188318,0.0741380498475285,-0.0339670127286967,-317.372783292242,NA,"XM_036162179.1",-25676,FALSE,"Atf1-ps"
"chr13",43560102,43560343,242,52,0.0575945257653002,0.108051999785759,-0.0504574740204584,-316.488117563304,NA,"NM_023554.2",8252,TRUE,"Nol7"
"chr17",87974969,87975120,152,38,0.0523025693057953,0.0978134767566853,-0.04551090745089,-316.367095784168,NA,"NM_008628.3",-4840,FALSE,"Msh2"
"chr7",116307725,116307995,271,59,0.0700034790807209,0.109815495981002,-0.039812016900281,-314.048690218746,NA,"XR_004934309.1",-8919,FALSE,"Gm39074"
"chr4",146942370,146942551,182,59,0.463837214513025,0.38206821892405,0.0817689955889747,314.004824918588,NA,"Gm21082",-19739,FALSE,NA
"chr10",14705393,14705582,190,44,0.0525486132035349,0.0950401355305575,-0.0424915223270226,-312.292401238474,NA,"NM_008703.3",69704,FALSE,"Nmbr"
"chr17",48409857,48410063,207,32,0.0801374652571949,0.142744206982207,-0.0626067417250119,-310.41623022358,NA,"NR_110485.1",-8960,FALSE,"A730006G06Rik"
"chr12",34906961,34907160,200,64,0.0557034697639667,0.0815243230634697,-0.0258208532995031,-309.648980637609,"intron","XR_872672.3",-17093,TRUE,"Gm40875"
"chr6",90905568,90905907,340,54,0.387552940644083,0.279497805702095,0.108055134941988,306.043574230381,"intron","Ppp1r2-ps2",23017,TRUE,NA
"chr7",114745742,114745834,93,28,0.0873001779084077,0.177001074529051,-0.0897008966206429,-305.517930870635,"intron","XR_869888.3",14102,TRUE,"Gm34282"
"chr2",179976484,179976891,408,59,0.0543156793635564,0.0756740227695971,-0.0213583434060406,-304.551676377205,NA,"NM_008093.2",-13,TRUE,"Gata5"
"chr7",105744300,105744575,276,50,0.0692721919076641,0.139801272110886,-0.0705290802032221,-302.328695318381,NA,"Gm8982",21906,FALSE,NA
"chr11",32533220,32533451,232,54,0.0430010539448489,0.0723843799381721,-0.0293833259933232,-301.620874439496,"intron","NM_009288.2",49956,TRUE,"Stk10"
"chr16",11176055,11176205,151,59,0.0318525463362893,0.0651618985312482,-0.0333093521949589,-300.996745664184,"intron","Gm18868",-34706,TRUE,NA
"chr13",58384942,58385163,222,62,0.105772921134717,0.161935544017775,-0.0561626228830582,-298.549212626124,"intron","Gm48432",18500,TRUE,NA
"chr17",34119367,34119529,163,35,0.0385963972885376,0.0845626920111739,-0.0459662947226364,-296.999083800011,"intron","NM_001369206.1",-2535,TRUE,"Smim40"
"chr1",93635185,93635387,203,52,0.0415249329961571,0.0772431954632447,-0.0357182624670876,-296.932849449705,"intron","NM_016778.3",21890,TRUE,"Bok"
"chr12",112644894,112645143,250,56,0.0878803040326645,0.173063447664049,-0.0851831436313846,-296.322376040147,NA,"XM_006516052.5",0,TRUE,"Zbtb42"
"chr14",100285551,100285824,274,47,0.0578097461784871,0.109446422205564,-0.0516366760270766,-294.931595343489,"intron","XR_004938585.1",-106089,TRUE,"LOC118568133"
"chr15",82070017,82070119,103,29,0.315306575971857,0.243175191757985,0.072131384213872,294.906515255545,"intron","NR_029804.1",-12204,TRUE,"Mir33"
"chr2",23068812,23069211,400,65,0.0426283726883091,0.0819743765118862,-0.0393460038235771,-292.687231508933,"intron","NM_013771.5",22297,TRUE,"Yme1l1"
"chr12",4477173,4477496,324,60,0.0514639982578285,0.0864467686755741,-0.0349827704177456,-292.156736548179,"intron","XM_006515006.5",3362,TRUE,"Ncoa1"
"chr11",5099220,5099428,209,41,0.040163709465233,0.0868841677574293,-0.0467204582921963,-291.975093593384,"intron","NM_001371004.1",647,TRUE,"Emid1"
"chr11",84525408,84525652,245,44,0.0606498909180192,0.119222333088014,-0.0585724421699947,-291.309871518527,NA,"NR_046197.1",85607,FALSE,"1700109G15Rik"
"chr5",104508287,104508387,101,36,0.0323590511833601,0.0644017069313537,-0.0320426557479937,-290.457302415479,NA,"XR_004942748.1",-32768,FALSE,"Gm54330"
"chr8",27319394,27319821,428,54,0.891796116172764,0.842545676596468,0.0492504395762962,290.053614744041,"intron","XR_004934943.1",1040,TRUE,"Gm53408"
"chr2",174328544,174328772,229,52,0.35996420305358,0.297184707917956,0.0627794951356239,289.781924851655,NA,"XR_003953978.1",-8620,FALSE,"Gm52540"
"chr3",63964790,63964919,130,23,0.0336444891939706,0.0833017747671211,-0.0496572855731505,-285.556595900775,NA,"Vmn2r-ps3",-1756,TRUE,NA
"chr9",59603101,59603363,263,36,0.434309948499147,0.550320766178282,-0.116010817679135,-284.340712588341,"intron","XM_006511272.5",5127,TRUE,"Gramd2"
"chr5",24842798,24843108,311,52,0.0514677742832218,0.118901520148821,-0.0674337458655995,-282.349275459709,NA,"NR_003953.1",-7343,FALSE,"1700022A21Rik"
"chr16",96145359,96145505,147,34,0.0521396383696667,0.0947095931910497,-0.042569954821383,-282.290880794298,NA,"XR_004939273.1",-3999,FALSE,"Gm41510"
"chr19",42201938,42202077,140,38,0.128293222076423,0.176944986351622,-0.0486517642751987,-282.27138873904,NA,"NM_018780.3",-11248,FALSE,"Sfrp5"
"chr6",39420312,39420548,237,44,0.0577750809631365,0.129286749698418,-0.0715116687352816,-278.737780798197,NA,"XM_017321683.2",-19833,FALSE,"Mkrn1"
"chr9",109931535,109931673,139,44,0.0457385519274084,0.0787044362579845,-0.032965884330576,-273.05186430833,NA,"NM_001252683.1",-1381,TRUE,"Dhx30"
"chr2",152093292,152093400,109,52,0.0588307641190792,0.0856797337194218,-0.0268489696003426,-270.542340453663,"intron","XM_011239272.4",4949,TRUE,"Csnk2a1"
"chr7",79710295,79710461,167,42,0.109736266389833,0.145478057654377,-0.0357417912645446,-269.61541400941,"intron","NR_045695.1",14545,TRUE,"Gm21057"
"chr8",12385434,12385791,358,40,0.0739982536265714,0.138216706373476,-0.0642184527469042,-268.716196004214,NA,"XR_003947512.2",-2929,FALSE,"Gm51562"
"chr4",145640808,145641076,269,48,0.322400728689393,0.387525727610275,-0.0651249989208819,-268.227961517599,NA,"Gm13246",-69508,FALSE,NA
"chr17",69382657,69382920,264,52,0.0411746894191352,0.0761798614510786,-0.0350051720319434,-266.788334541248,NA,"NM_001355732.1",0,TRUE,"Epb41l3"
"chr12",100200437,100200601,165,53,0.0534837260859237,0.0837086453308965,-0.0302249192449728,-264.569422189933,NA,"XR_872931.4",8127,FALSE,"Gm40557"
"chr2",26628283,26628569,287,50,0.0707257870313324,0.103834616728611,-0.0331088296972785,-264.173541458159,NA,"NM_001359164.1",6553,FALSE,"Gm39773"
"chr9",20868633,20868735,103,28,0.0528881287795555,0.101793457121106,-0.0489053283415507,-263.067823035423,"intron","NM_001199432.2",2350,TRUE,"Dnmt1"
"chr15",38300610,38300780,171,38,0.0836010542692513,0.128667114516455,-0.0450660602472033,-261.416536581294,NA,"XR_001781639.3",0,TRUE,"Gm35248"
"chr8",70353272,70353392,121,54,0.0447524360904557,0.0692710727050303,-0.0245186366145746,-260.969750934215,NA,"NM_001421556.1",909,TRUE,NA
"chr5",65335517,65335668,152,38,0.044222352372144,0.0737147499410523,-0.0294923975689083,-260.713699848711,NA,"XR_004942609.1",-17133,FALSE,"Gm54287"
"chr8",87472580,87472820,241,53,0.0781550855460544,0.106327808810586,-0.028172723264532,-256.819953433002,NA,"NM_009172.2",0,TRUE,"Siah1a"
"chr15",76229460,76229587,128,33,0.0527092783124303,0.0976615246520322,-0.044952246339602,-256.472247429752,"intron","NM_025567.3",1739,TRUE,"Cyc1"
"chr15",6874065,6874261,197,42,0.0524020352917906,0.0892770688563884,-0.0368750335645978,-255.535258624827,"intron","XR_004938928.1",-16668,TRUE,"Gm41261"
"chr9",108190393,108190555,163,57,0.060074734683165,0.089426830096295,-0.02935209541313,-254.390755354185,"intron","NM_001313961.1",6399,TRUE,"Rhoa"
"chr18",31788918,31789141,224,38,0.0488477081156314,0.10539217020525,-0.0565444620896186,-253.858483118231,"intron","XM_036161161.1",19744,TRUE,"Sap130"
"chr5",65199628,65199907,280,45,0.0941451698540224,0.176287105870516,-0.0821419360164933,-252.910264044174,NA,"XR_003955930.2",-21971,FALSE,"Gm32374"
"chr8",70598358,70598515,158,28,0.740027868388778,0.801570652106835,-0.0615427837180573,-252.46518801808,NA,"NM_001309841.1",5433,TRUE,"Borcs8"
"chr9",104263059,104263187,129,41,0.0435364014189327,0.0684134980837261,-0.0248770966647934,-252.224780122272,NA,"n-TCgca47",-14132,FALSE,NA
"chr10",75211827,75212039,213,40,0.051681836361389,0.0791220772337978,-0.0274402408724088,-250.661861738048,NA,"NR_033602.1",23940,FALSE,"Gm5779"
"chr13",71959722,71960103,382,39,0.0878468228551236,0.132703198285255,-0.0448563754301315,-249.20977517118,NA,"XR_873661.1",-25715,FALSE,"Gm40999"
"chr3",56183600,56183805,206,53,0.0484437732182884,0.0751630698207259,-0.0267192966024375,-248.720274696829,NA,"XR_867300.2",-5568,FALSE,"Gm40053"
"chr19",47067664,47067863,200,48,0.0547966995321843,0.0853775743142154,-0.0305808747820312,-248.51532068387,"intron","NM_023211.5",11224,TRUE,"Atp5md"
"chr2",52619768,52619856,89,22,0.627051751001284,0.390633760587259,0.236417990414024,247.240244597647,"intron","NM_001418467.1",12357,TRUE,NA
"chr1",88008208,88008376,169,40,0.0669596976087337,0.123897365501851,-0.0569376678931171,-246.638125809443,"intron","NM_001378375.1",-7174,TRUE,"Ugt1a8"
"chr9",75071118,75071412,295,41,0.0590272134173576,0.0996971955404516,-0.0406699821230939,-245.70685768143,NA,"XM_036154671.1",-228,TRUE,"Myo5a"
"chr2",174328917,174329175,259,53,0.453078953311547,0.366965416494051,0.0861135368174957,245.697185814798,NA,"XR_003953978.1",-8993,FALSE,"Gm52540"
"chr15",76516247,76516518,272,50,0.609660396171829,0.682451294627464,-0.0727908984556347,-245.077540586591,NA,"NM_025842.4",-5964,TRUE,"Vps28"
"chr8",105900397,105900614,218,63,0.0501939292985741,0.0802643375523077,-0.0300704082537336,-243.474414257623,"intron","XR_004935183.1",1271,TRUE,"Gm22063"
"chr6",127080247,127080347,101,33,0.0537277542775215,0.100366519500863,-0.0466387652233416,-242.755890619802,"intron","NM_177003.5",6169,TRUE,"Tigar"
"chr4",115000115,115000292,178,38,0.0577456284388389,0.116187730905528,-0.0584421024666896,-240.760727320952,"exon","NM_001003947.3",-8840,TRUE,"Cyp4x1"
"chr3",27371874,27372373,500,35,0.084378456962181,0.110581609052774,-0.0262031520905927,-240.724757322254,"intron","NM_009425.2",650,TRUE,"Tnfsf10"
"chr10",128805348,128805542,195,41,0.0391382933911892,0.079366175447147,-0.0402278820559578,-240.437049621134,"prom","NR_152816.1",-1524,FALSE,"9030616G12Rik"
"chr8",72421447,72421649,203,40,0.0488364078095198,0.0883385149385789,-0.0395021071290591,-238.995320876615,NA,"Gm57790",-142621,FALSE,NA
"chr6",124996858,124997302,445,44,0.061616636235843,0.100931092690775,-0.0393144564549316,-238.139685929436,"intron","NM_001347452.1",9516,TRUE,"Zfp384"
"chr8",84415706,84415906,201,44,0.0522421735289171,0.0831934132161972,-0.0309512396872802,-236.708583204207,"intron","NM_001199593.1",4785,TRUE,"Pkn1"
"chr16",13437124,13437285,162,38,0.0427628733986484,0.111153564801501,-0.0683906914028522,-236.075679171712,"intron","XM_006522652.4",48560,TRUE,"Parn"
"chr8",120589071,120589220,150,30,0.0867561735076603,0.163831088663947,-0.0770749151562871,-236.011295995413,NA,"NM_146219.1",29,TRUE,"Klhl36"
"chr2",172042367,172042759,393,32,0.0937829609299317,0.120611198591708,-0.0268282376617763,-235.073478325461,NA,"XR_375341.2",-44035,FALSE,"Gm35719"
"chr18",35831703,35831940,238,41,0.101084911122807,0.283241540076365,-0.182156628953559,-234.942697592853,"intron","XM_006526346.4",4232,TRUE,"Dnajc18"
"chr19",23893334,23893421,88,29,0.26585859759256,0.347070901966815,-0.0812123043742555,-234.922844910325,NA,"XR_004940266.1",20400,TRUE,"Gm34076"
"chr7",142968269,142968493,225,53,0.0869251928329813,0.147035475702341,-0.0601102828693597,-234.875131373413,"intron","NM_001412230.1",46243,TRUE,NA
"chr4",109406959,109407128,170,47,0.0516170172169487,0.0823449217345678,-0.0307279045176191,-234.729458457983,"prom","XR_868013.1",-1028,FALSE,"Gm40226"
"chr6",108783074,108783245,172,53,0.0343480808877828,0.0601286002592169,-0.0257805193714341,-234.59794199236,"intron","XR_003956495.2",16151,TRUE,"Gm51409"
"chr10",42761830,42761980,151,39,0.0464137010392611,0.0799771975389431,-0.0335634964996821,-234.523992981777,"intron","XR_380280.5",-20842,TRUE,"Gm34006"
"chrX",155623303,155623528,226,28,0.0535683064387564,0.0940382037046085,-0.040469897265852,-233.560021503375,"prom","XR_004940580.1",-31,FALSE,"LOC115489265"
"chr10",128232273,128232435,163,49,0.0569481233442632,0.0925294673703263,-0.0355813440260631,-232.935554933009,NA,"NM_028051.3",3901,TRUE,"Slc39a5"
"chr8",94098463,94098624,162,39,0.0664964894505117,0.108330619854209,-0.0418341304036976,-231.795494492848,"intron","XM_006531546.2",7729,TRUE,"Ces1h"
"chr19",10304925,10305188,264,42,0.0504316121802824,0.080342223646942,-0.0299106114666596,-231.01320267044,NA,"XM_036161605.1",-22603,FALSE,"Dagla"
"chr7",117016138,117016373,236,22,0.901308641317033,0.848570469826061,0.0527381714909719,230.108768086954,"intron","NM_175645.3",35926,TRUE,"Xylt1"
"chr10",80150359,80150582,224,50,0.053991008118317,0.08931164467376,-0.035320636555443,-228.781453334131,"exon","NM_025521.3",5801,TRUE,"2310011J03Rik"
"chr4",148900637,148900764,128,56,0.0318323172499575,0.0524595984289868,-0.0206272811790292,-228.082034792392,"intron","XM_006539159.5",11667,TRUE,"Casz1"
"chr16",17209111,17209279,169,35,0.0595364783489682,0.0857342135139724,-0.0261977351650041,-225.680921581768,"intron","Gm18793",-9417,TRUE,NA
"chr17",25919634,25919850,217,61,0.0744158683999245,0.148151671511909,-0.0737358031119849,-225.495770344708,"prom","XR_004939691.1",-1812,FALSE,"4930541O19Rik"
"chr8",94386408,94386544,137,25,0.0585349131591944,0.0996054522051784,-0.041070539045984,-224.535326712736,"intron","XR_004934967.1",29801,TRUE,"Gm26843"
"chr5",34513713,34513798,86,25,0.0523418697195209,0.094849105714708,-0.0425072359951871,-224.334197869415,NA,"NM_001243123.2",-13497,FALSE,"Fam193a"
"chr5",32458966,32459112,147,38,0.0424996048142716,0.067546275955522,-0.0250466711412504,-223.428750286131,"intron","XM_006504049.5",-37255,TRUE,"Plb1"
"chr7",19131671,19131858,188,27,0.0563586199748707,0.133221021450795,-0.0768624014759241,-223.182422956766,"intron","NM_001286038.2",1966,TRUE,"Klc3"
"chr8",111299963,111300066,104,24,0.0371288574109059,0.0847752317550935,-0.0476463743441876,-221.80565717962,"intron","XM_030243561.2",42764,TRUE,"Hydin"
"chr4",155250198,155250286,89,22,0.0657794706362928,0.116768870318701,-0.0509893996824084,-221.567532923814,"intron","NM_011385.3",57251,TRUE,"Ski"
"chr19",24477441,24477574,134,37,0.0619892041742738,0.0959754036136411,-0.0339861994393673,-221.381837414453,NA,"XM_006526763.5",8039,TRUE,"Pip5k1b"
"chr8",70760752,70760863,112,33,0.101226975050154,0.176393246121811,-0.0751662710716576,-220.390885530248,"intron","NM_021538.2",5337,TRUE,"Cope"
"chr2",144165435,144165681,247,32,0.0463046454079281,0.0886298650320447,-0.0423252196241166,-220.210351665129,"intron","XM_006498544.4",6910,TRUE,"Ovol2"
"chr8",61223805,61224035,231,44,0.0645441991458492,0.100487565558754,-0.0359433664129044,-219.26695503768,NA,"Gm45651",14537,FALSE,NA
"chr10",43578982,43579164,183,37,0.0516065414265029,0.0901235426083119,-0.0385170011818089,-218.220672585909,NA,"XR_004936502.1",-19433,FALSE,"Gm53624"
"chr8",74993553,74993609,57,20,0.047133230039074,0.0857194286468758,-0.0385861986078018,-216.797126081846,NA,"Gm7948",395234,FALSE,NA
"chr8",70598571,70598891,321,42,0.760161747190976,0.820056797174036,-0.0598950499830598,-216.180605552406,"intron","NM_001309841.1",5646,TRUE,"Borcs8"
"chr2",152414475,152414621,147,48,0.045815979984784,0.072345691532896,-0.026529711548112,-216.066804068959,"prom","NM_207276.3",-42,FALSE,"Defb21"
"chr4",53011956,53012116,161,33,0.0470552282138802,0.0935623217738657,-0.0465070935599855,-215.973427868252,NA,"NM_025623.4",26,TRUE,"Nipsnap3b"
"chr18",33464256,33464353,98,28,0.0561307656329169,0.0870987071583242,-0.0309679415254073,-214.711235970813,NA,"Gm5503",53656,FALSE,NA
"chr11",120305214,120305448,235,37,0.0562089585028405,0.0873931868009677,-0.0311842282981272,-214.551434406116,"intron","XM_036156619.1",23060,TRUE,"Nploc4"
"chr1",134362049,134362167,119,25,0.0403757985107747,0.074617948560599,-0.0342421500498244,-212.927161859083,NA,"NM_001306069.1",18649,FALSE,"Adipor1"
"chr5",144768759,144768867,109,24,0.0518479212458788,0.102296189888764,-0.0504482686428854,-212.700832103658,"intron","XR_004942816.1",57526,TRUE,"Gm23995"
"chr7",128688346,128688436,91,24,0.425049641923936,0.535364001310374,-0.110314359386438,-212.393612983304,NA,"Gm4259",-31525,FALSE,NA
"chrX",57053651,57053761,111,33,0.0628346052973897,0.105346982782666,-0.0425123774852764,-212.079688873242,"intron","LOC100504535",6849,TRUE,NA
"chr11",50210635,50210798,164,37,0.102581044504511,0.184939733259691,-0.08235868875518,-211.998356565614,"intron","NM_007597.3",5703,TRUE,"Canx"
"chr12",105784612,105784726,115,42,0.0553414181721701,0.0789425222332562,-0.0236011040610861,-211.920183976509,NA,"XR_003949999.2",33388,TRUE,"Papola"
"chr9",123478511,123478718,208,52,0.0506954156844178,0.0709236381185631,-0.0202282224341454,-211.48813998829,"intron","NM_011731.4",-16909,TRUE,"Slc6a20b"
"chr3",86223946,86224075,130,39,0.0384654266115566,0.0580825595307572,-0.0196171329192006,-211.232220280402,"intron","XR_004941741.1",-41278,TRUE,"Gm26343"
"chr3",41563513,41563648,136,39,0.061279410432831,0.098183618466671,-0.03690420803384,-211.04266188937,"intron","NM_001130186.1",44200,TRUE,"Jade1"
"chr12",76403464,76403697,234,36,0.0656903263234322,0.131403179493203,-0.0657128531697711,-210.915560740555,"intron","XM_006515399.3",11916,TRUE,"Zbtb25"
"chr14",120456820,120457031,212,36,0.946770679177647,0.907495299988639,0.0392753791890084,210.813592170153,NA,"XR_003951033.2",-48054,FALSE,"Gm4681"
"chr13",23535368,23535573,206,27,0.0653743644617776,0.194109840318008,-0.12873547585623,-210.693614008432,"intron","NM_001286155.1",17806,TRUE,"Zfp322a"
"chr15",58889485,58889676,192,33,0.0508418566357787,0.0813743900678975,-0.0305325334321187,-210.641159657919,"intron","XM_011245544.1",-17980,TRUE,"Mtss1"
"chr2",3284261,3284446,186,39,0.0600185912965701,0.0845929051540125,-0.0245743138574424,-209.411657706358,"prom","NM_001290370.1",-803,FALSE,"Nmt2"
"chr1",52630859,52630941,83,24,0.0511076300323535,0.090735190176516,-0.0396275601441625,-208.958425129507,NA,"Gm5527",7480,FALSE,NA
"chr11",121354549,121354678,130,18,0.0377025055332576,0.0911680986972775,-0.0534655931640199,-208.305538377778,"intron","XM_030245468.2",10094,TRUE,"Tbcd"
"chr6",76497975,76498091,117,28,0.90677636234499,0.869773278567189,0.0370030837778007,207.775694706632,NA,"Rnf26rt",-23260,FALSE,NA
"chr7",19228341,19228511,171,36,0.0696950154561497,0.156167724331406,-0.0864727088752566,-207.148642838098,"intron","NM_001421737.1",13717,TRUE,NA
"chr14",57825964,57826062,99,26,0.0532113860053176,0.101569395527977,-0.0483580095226591,-206.84850689974,"intron","NR_152103.1",16895,TRUE,"1700039M10Rik"
